2019-12-02 18:42:47.3639 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:43:50.0621 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:45:20.3717 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:47:18.6585 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:48:01.3675 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:49:20.5662 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:54:21.0480 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:57:04.1433 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 19:55:48.5933 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 20:04:49.7964 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":2222, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 20:17:35.3391 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"Pobedi.32", "Amount":8000, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 20:22:00.0390 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":1, "Department_address":"Pobedi.30", "Amount":7000, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 20:34:07.2215 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":1, "Department_address":"Pobedi.30", "Amount":7000, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 20:34:16.2384 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":1, "Department_address":"Pobedi.30", "Amount":7000, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 20:34:17.5012 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":1, "Department_address":"Pobedi.30", "Amount":7000, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 20:34:18.1953 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":1, "Department_address":"Pobedi.30", "Amount":7000, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 20:34:18.9394 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":1, "Department_address":"Pobedi.30", "Amount":7000, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 20:34:33.7799 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":1, "Department_address":"Pobedi.30", "Amount":7000, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 23:34:43.6801 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"Pobedi.30", "Amount":5555, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 23:37:12.5593 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"Pobedi.30", "Amount":5555, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 23:41:27.4508 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"Pobedi.30", "Amount":5555, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 23:43:03.0588 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"Pobedi.30", "Amount":5555, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 23:44:01.5381 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"Pobedi.30", "Amount":5555, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 23:45:23.7244 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"Pobedi.30", "Amount":5555, "Currency":"USD", "Client_ip":"::1"}
2019-12-02 23:52:21.0492 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":3, "Department_address":"Pobedi.30", "Amount":12000, "Currency":"USD", "Client_ip":"::1"}
